# OldHash      NewHash      CAfile                   CAURL                                       Version   Accreditation   
#--------------------------------------------------------------------------------------------------------
7ca9677b     16054abd     AC-GRID-FR.pem           http://grid-fr.renater.fr/                     1.98   I
80df9b28     72aa436d     AC-GRID-FR-Personnels.pem http://grid-fr.renater.fr/                     1.98   I
3f638905     37a553c6     AC-GRID-FR-Robots.pem    http://grid-fr.renater.fr/                     1.98   I
14e86c33     5e02f50a     AC-GRID-FR-Services.pem  http://grid-fr.renater.fr/                     1.98   I
3c58f906     157753a5     AddTrust-External-CA-Root.pem http://www.comodo.com/                         1.98   I
393f7863     cc5645bd     AEGIS.pem                http://aegis-ca.rcub.bg.ac.rs/                 1.98   I
126f0acf     036b3363     ANSPGrid.pem             http://gridca.ansp.br                          1.98   I
d0c2a341     3fb4d8a6     ArmeSFo.pem              http://www.escience.am/ca/                     1.98   I
9cd75e87     b459ca48     ASGCCA-2007.pem          http://ca.grid.sinica.edu.tw/                  1.98   I
6e3b436b     3de400d0     AustrianGrid.pem         http://ca.austriangridca.at/                   1.98   I
2418a3f3     13ba0088     BG-ACAD-CA.pem           http://www.ca.acad.bg/                         1.98   I
709bed08     b1ac0d46     BYGCA.pem                http://ca.grid.by/                             1.98   I
4339b4bc     5168735f     CERN-GridCA.pem          http://www.cern.ch/ca                          1.98   I
16d09bf5     c7cad089     CERN-LCG-IOTA-CA.pem     http://www.cern.ch/ca                          1.98   I
b4278411     c2a48ab6     CERN-Root-2.pem          http://www.cern.ch/ca                          1.98   I
712ae4cc     4d12be1d     CESNET-CA-3.pem          http://www.cesnet.cz/pki/                      1.98   I
edca0fc0     f4401b90     CESNET-CA-Root.pem       http://www.cesnet.cz/pki/                      1.98   I
28776852     c2868627     cilogon-basic.pem        http://ca.cilogon.org/                         1.98   I
d690e530     70d35895     cilogon-osg.pem          https://twiki.grid.iu.edu/bin/view/Security/OSGCertificateService       1.98   I
10718cba     01b5d333     cilogon-silver.pem       http://ca.cilogon.org/                         1.98   I
b2771d44     e2023333     CNIC.pem                 http://ca.grid.cn/en/                          1.98   I
163af95c     727146a8     CNRS2.pem                http://igc.services.cnrs.fr/GRID2-FR/          1.98   I
d11f973e     585d9326     CNRS2-Grid-FR.pem        http://igc.services.cnrs.fr/GRID2-FR/          1.98   I
09ff08b7     7022e3c4     CNRS2-Projets.pem        http://igc.services.cnrs.fr/GRID2-FR/          1.98   I
d4c339cb     d6325660     COMODO-RSA-CA.pem        http://www.comodo.com/                         1.98   I
afe55e66     83676c6b     CyGrid.pem               http://cynet.ac.cy/CygridCA/                   1.98   I
f7f85117     afcee918     DarkMatterAssuredCA.pem  http://ca.darkmatter.ae/Grid/                  1.98   I
9dcd411f     79007507     DarkMatterIGTFCA.pem     http://ca.darkmatter.ae/Grid/                  1.98   I
13ba85c4     e5b7222b     DarkMatterPrivateRootCAG4.pem http://ca.darkmatter.ae/Grid/                  1.98   I
a69c3a14     ce7ecb5d     DarkMatterSecureCA.pem   http://ca.darkmatter.ae/Grid/                  1.98   I
728fa56d     87250dfa     DCAROOT-G1.pem           https://ca.dutchgrid.nl/dcaroot/               1.98   I
1149214e     30ffc224     DFN-GridGermany-Root.pem https://www.pki.dfn.de/grid/                   1.98   I
69105f4f     b1159c4c     DigiCertAssuredIDRootCA-Root.pem http://www.digicert-grid.com/                  1.98   I
c7a717ce     82c2b224     DigiCertGridCA-1-Classic.pem http://www.Digicert-grid.com/                  1.98   I
8dd53007     62c4a178     DigiCertGridCA-1G2-Classic-2015.pem http://www.digicert-grid.com/                  1.98   I
2694e4f2     74a04bb6     DigiCertGridRootCA-Root.pem http://www.digicert-grid.com/                  1.98   I
38f7145f     67707166     DigiCertGridTrustCA-Classic.pem http://www.DigiCert-Grid.com/                  1.98   I
5d9ea26d     bd43b60c     DigiCertGridTrustCAG2-Classic.pem http://www.DigiCert-Grid.com/                  1.98   I
0a49430a     fdf90b95     DZeScience.pem           http://www.grid.arn.dz                         1.98   I
dd4b34ea     7ecb2657     GermanGrid.pem           http://grid.fzk.de/cgi-bin/welcome_ca.pl       1.98   I
bffbd7d0     5d674a88     GridCanada.pem           http://www.gridcanada.ca/ca                    1.98   I
f4cf8fb6     7c27c6a1     HellasGrid-CA-2016.pem   http://www.grid.auth.gr/                       1.98   I
4798da47     03a1fa38     HKU.pem                  http://ca.grid.hku.hk/                         1.98   I
a7b21b05     368bc755     HKU-CA-2.pem             http://ca.grid.hku.hk/                         1.98   I
30351739     61cd35bd     HPCI.pem                 https://www.hpci.nii.ac.jp/ca/                 1.98   I
2fc6b233     8fa17d52     IGCA2.pem                http://ca.garudaindia.in/                      1.98   I
39d30eba     e7734335     IHEP-2013.pem            https://cagrid.ihep.ac.cn/                     1.98   I
f5f0dfc2     ba240aa8     InCommon-IGTF-Server-CA.pem https://www.incommon.org/cert/                 1.98   I
49f18420     bc77a803     INFN-CA-2015.pem         http://security.fi.infn.it/CA/                 1.98   I
f8598272     63699217     IRAN-GRID-GCG-G2.pem     http://irangrid.ipm.ac.ir/                     1.98   I
617ff41b     2f2f573f     KEK.pem                  https://gridca.kek.jp/                         1.98   I
3cc00941     68aa9d51     KENETCA-ICA-2015.pem     https://ca.kenet.or.ke/                        1.98   I
78351451     23c77840     KENETROOTCA.pem          https://ca.kenet.or.ke/                        1.98   I
06769ccd     ead666c8     KISTIv3.pem              http://ca.gridcenter.or.kr/                    1.98   I
11b4a5a2     be87b272     LIPCA.pem                http://ca.lip.pt/                              1.98   I
7b54708e     4ce1cf99     MaGrid.pem               http://www.magrid.ma/ca                        1.98   I
7d0d064a     1e4f9475     MARGI.pem                www.margi.marnet.net.mk                        1.98   I
a2dbd20c     4c3ad332     MD-Grid-CA-T.pem         http://ca.grid.md/                             1.98   I
3232b9bc     56084620     MREN-CA.pem              http://mren-ca.ac.me/                          1.98   I
d33760ec     58b08cb5     MYIFAM.pem               http://myifam.upm.my                           1.98   I
c36f6349     7aa2b7bd     NCSA-slcs-2013.pem       https://security.ncsa.uiuc.edu/CA/             1.98   I
ca157cee     48c8f10a     NCSA-tfca-2013.pem       https://security.ncsa.illinois.edu/CA/         1.98   I
b93d6240     20b7db76     NERSC-SLCS.pem           http://certs.nersc.gov/                        1.98   I
58435df6     072977ca     NIIF-Root-CA-2.pem       http://www.ca.niif.hu/                         1.98   I
16da7552     dfb080e4     NIKHEF.pem               http://ca.dutchgrid.nl/medium/                 1.98   I
2f2e0e6e     a3e2dbca     NorduGrid-2015.pem       http://ca.nordugrid.org/                       1.98   I
f5ead794     18700496     PK-Grid-2007.pem         http://www.ncp.edu.pk/pk-grid-ca/              1.98   I
8f016f43     d0a33f8e     PKIUNAMgrid.pem          http://ca.unamgrid.unam.mx/                    1.98   I
8a661490     03b260e0     PolishGrid.pem           http://www.man.poznan.pl/plgrid-ca             1.98   I
4b2783ac     7f4db168     PSC-Myproxy-CA.pem       http://www.psc.edu/ca/                         1.98   I
633dc6a4     e91bd360     QuoVadis-Grid-ICA-G2.pem https://www.quovadisglobal.bm/                 1.98   I
5cf9d536     080911ac     QuoVadis-Root-CA1.pem    https://www.quovadisglobal.bm/                 1.98   I
7a819ef2     d7e8dc79     QuoVadis-Root-CA2.pem    https://www.quovadisglobal.bm/                 1.98   I
1f58a078     064e0aa9     QuoVadis-Root-CA2G3.pem  https://www.quovadisglobal.bm/                 1.98   I
e442e424     e18bfb83     QuoVadis-Root-CA3G3.pem  https://www.quovadisglobal.bm/                 1.98   I
ab2371fe     5f40742a     RCauth-Pilot-ICA-G1.pem  https://www.rcauth.eu/                         1.98   I
55994d72     94b468c6     RDIG.pem                 http://ca.grid.kiae.ru/RDIG/                   1.98   I
